Startup,URL,Description,Country,Innovation Area,Focus Area,Founded,Maturity,Total Funding,Funding Stage,Node size
Baanx,baanx.com,"Baanx offers a mobile digital banking application, payments engine and cryptocurrency platform.",United Kingdom,General BaaS Platforms,9. Developer Platforms,2014,Nascent,"800,000",Seed,70
BlockCypher,https://www.blockcypher.com/,BlockCypher allows users to build block chain applications with its web APIs and callbacks and run them on the company's cloud-optimized platform.,United States,General BaaS Platforms,9. Developer Platforms,2013,Nascent,"3,920,000",Seed,70
Deserve,deserve.com,Deserve offers credit cards directly to nontraditional consumers with little credit history and uses machine learning and alternative data to assess creditworthiness.,United States,Product As A Service,4. Cards,2013,Emerging,"144,110,000",Series C,100
LenderClose,lenderclose.com,LenderClose is a solution for credit unions and community banks. LenderClose brings everything lenders require under a single access point. The company's web-based applications allow loan officers and lending staff to run a streamlined lending cycle.,United States,Product As A Service,1. Lending,2015,Nascent,"2,000,000",Series B,70
Neocova,neocova.com,"Neocova offers an AI-based, API-driven platform designed specifically to support community banks and credit unions. Entirely cloud-based, its core platform manages customers, deposit accounts and loan products.",United States,General BaaS Platforms,9. Developer Platforms,2016,Nascent,"13,410,000",Series B,70
PayJoy,payjoy.com,PayJoy enables consumers with no bank accounts or formal credit history to purchase smartphones on installment payments and get cash loans. It does so by turning the smartphone into collateral through software that locks the phone when payments have not been made.,United States,Product As A Service,1. Lending,2015,Nascent,"74,630,000",Series B,100
Payrailz,payrailz.com,Payrailz is a digital payments company offering bill payment and money transfer solutions to banks and credit unions.,United States,Product As A Service,2. Payments Initiation,2016,Nascent,"25,030,000",Series B,100
Qualpay,https://www.qualpay.com/,"Qualpay is a payment solutions provider headquartered in San Mateo, California. Qualpay's multichannel, Cloud-based processing platform provides a combined merchant account with solutions that enable businesses to accept payments across all their sales channels. Qualpay continues to seek out and incorporate leading-edge technologies in order to provide its customers with the tools and services they need in today's rapidly changing marketplace.",United States,Product As A Service,2. Payments Initiation,2014,Nascent,"8,680,000",Series A,70
Sync1 Systems,sync1systems.com,Sync1 Systems builds advanced digital platforms for credit unions looking to optimize lending and grow memberships.,United States,Product As A Service,1. Lending,2016,Nascent,"4,680,000",Series A,70
Token,token.io,"Token provides TokenOS, an open banking platform which enables a global ecosystem of banks, customers and developers to initiate payments and move money and information securely, instantly, worldwide.",United States,Data Aggregators,10. Open Banking,2015,Nascent,"35,680,000",Series A,100
Zero Financial,zero.app,"Zero Financial mobile app displays deposits, purchases, and transfers in one place with a real-time net balance in their afiliated Zero Checking account, giving users a number to spend from and track.",United States,Product As A Service,4. Cards,2016,Nascent,"136,680,000",Series A,100
LoanStreet,https://www.loan-street.com/,"LoanStreet creates a marketplace to enable the efficient syndication of any sized loan. LoanStreet's marketplace automates and standardizes syndication from origination to maturity enabling lenders and investors to buy, sell and manage loans directly on LoanStreet. As a result, there is no wasted time or management resources negotiating individual syndication agreements.",United States,Product As A Service,1. Lending,2013,Nascent,"12,930,000",Series A,70
Visible Capital,visiblecapital.io,"Visible Capital develops technology that helps clients of intermediaries, such as wealth managers, pension providers, and IFAs, provide their advisers with controlled access to their financial data. Visible Capital uses PSD2/open banking data to automate the collection of information required to onboard customers in the wealth sector.",United Kingdom,Product As A Service,5. Wealth Management,2018,Nascent,"660,000",Seed,70
Harvest Savings & Wealth Technologies,harvestsw.com,"Harvest Savings & Wealth Technologies provides integrated, enterprise-grade digital savings and wealth solutions to banks, credit unions, trust companies, and other financial institutions.",United States,Product As A Service,5. Wealth Management,2014,Nascent,"44,370,000",Series B,100
Payhawk,payhawk.io,Payhawk issues company cards and helps companies to manage their expenses.,United Kingdom,General BaaS Platforms,9. Developer Platforms,2018,Nascent,"4,500,000",Seed,70
Payveris,payveris.com,"Payveris creates the MoveMoney Platform, an open API cloud-based platform enabling FIs to control, simplify and extend digital money movement capabilities to any application/device while lowering user experience friction, significantly reducing operating costs and future-proofing the IT investment.",United States,General BaaS Platforms,9. Developer Platforms,2012,Emerging,"25,310,000",Series C,100
Constellation Digital Partners,constellation.coop,Constellation Digital Partners is a cloud-based suite of digital financial services dedicated solely to credit unions.,United States,General BaaS Platforms,9. Developer Platforms,2017,Nascent,"10,500,000",Series A,70
HUBUC,hubuc.com,"HUBUC offers a quick, reliable, scalable, and easy way to offer financial services to customers. The HUBUC platform has two banking partners in the United Kingdom and France that provide banking services and the depository of accounts. Under its licenses, HUBUC can operate throughout the European Union, while it is regulated by the Central Bank of UK (FCA) and the Central Bank of France (ACPR).",Spain,Product As A Service,4. Cards,2018,Nascent,"400,000",Seed,70
B-North,b-north.co.uk,"B-North seeks to partner with global fintech professionals to deliver personal service, transform the lending experience, both for UK businesses and for commercial finance intermediaries.",United Kingdom,Product As A Service,1. Lending,2018,Nascent,"4,260,000",Seed,70
Paratic,paratic.com.tr,Paratic is a banking application that integrates with banks and any accounting program.,Turkey,General BaaS Platforms,9. Developer Platforms,2016,Nascent,"310,000",Seed,70
BlockApps,https://blockapps.net/,"BlockApps offers an enterprise blockchain platform specializing in Ethereum technology. BlockApps STRATO is a scalable Ethereum-compliant platform for development, deployment and management of enterprise blockchain applications. The platform allows businesses to develop early proof-of-concepts and can scale to full production systems.",United States,General BaaS Platforms,9. Developer Platforms,2015,Nascent,"6,450,000",Series A,70
Noah,noah.co,"Noah is a modern finance company helping homeowners tap into their home value to meet their financial goals without incurring new monthly payments or interest. Noah’s equity sharing model is a debt-free alternative to traditional home equity loans and HELOCs. By partnering with homeowners, Noah offers homeowners in select metro areas across the United States a one-time cash payment in exchange for a share in a percentage of their home’s future appreciation or depreciation.",United States,Product As A Service,1. Lending,2016,Emerging,"156,370,000",Series D,100
OnCorps,oncorps.io,"OnCorps is an Adaptive Decision Analytics company that intelligently engages users and nudges them to make better decisions. The OnCorps platform adapts to each user's performance and decision style by applying a unique combination of behavioral science, machine learning and Sabermetrics, allowing users to see real-time diagnostics while building a personal decision diary.",United States,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2011,Emerging,"8,410,000",Series A,70
Rippleshot,rippleshot.com,"Rippleshot provides issuers, merchants and processors with a cloud-based technology platform to detect fraud through machine learning and data analytics. The company's technology processes millions of payment card transactions in real-time to proactively pinpoint when and where a breach of card data occurred. Following detection, the platform then identifies which cards are most at risk of seeing fraudulent activity, and suggests appropriate mitigation strategies to best prevent fraud loss.",United States,Product As A Service,4. Cards,2014,Nascent,"5,710,000",Series A,70
FinMkt,https://finmkt.io/,"FinMkt is a provider of technology and market data solutions to the crowdfunded securities and peer lending industry. The company operates a centralized hub for real-time market data aggregated from platforms across the globe. FinMkt owns and operates NowStreetWire.com, CrowdWatch.co and is a co-producer of the peer-lending conference, LendIt.",United States,Product As A Service,1. Lending,2011,Emerging,"12,370,000",Series B,70
ForwardLane,forwardlane.com,"ForwardLane provides an AI API platform for wealth managers, asset managers and commercial banks. The company's Insights Engine provides Personalized Insights for financial services professionals and their clients with unique reasoning.",United States,Product As A Service,5. Wealth Management,2015,Nascent,"8,950,000",Series A,70
Dapi,http://dapi.co/,App-based wallet for individuals & businesses. It enables individuals to transfer money from existing bank accounts. It also enables businesses to accept payments via bank transfers. It offers prepaid cards for online/offline purchases.,United States,Data Aggregators,10. Open Banking,2019,Nascent,"150,000",Seed,70
Decentro,decentro.tech,Decentro enables financial integrations and modular products through its online platform.,Singapore,Data Aggregators,10. Open Banking,2020,Nascent,"130,000",Seed,70
Finantier,finantier.co,"Finantier is an Indonesia-based fintech startup that provides a platform that can collect datasets from various banks and financial companies, enrich the data, and pass them to other companies through an application programming interface (API), a software intermediary that allows two applications to talk to each other.",Indonesia,Data Aggregators,10. Open Banking,2020,Nascent,"130,000",Seed,70
Onward Financial,https://onward.org/,"Onward Financial helps low-to-moderate income workers build financial cushions through a mobile app, saving effortlessly directly from their paychecks and building financial literacy.",United States,Product As A Service,7. Other (eg. treasury),2016,Nascent,"230,000",Seed,70
FINQware,finqware.com,FINQware develops technologies and products for open banking.,Romania,Data Aggregators,10. Open Banking,2017,Nascent,"310,000",Seed,70
Manigo,manigo.com,"Manigo is a digital money platform that connects consumers, businesses, and merchants. Manigo enables consumers to make payments, businesses to track expenses, and merchants to receive payments.",United Kingdom,Product As A Service,2. Payments Initiation,2015,Nascent,"770,000",Seed,70
Point,trypointbank.com,"Point is a digital bank that offers a debit card with travel and dining rewards, 2% APY on savings, and no hidden fees.",United States,Product As A Service,4. Cards,2018,Nascent,"200,000",Seed,70
Flaist,flaist.com,Flaist is a digital transformation platform for banks through an AI-powered framework with the end goal of elevating the customer experience.,United States,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2020,Nascent,"20,000",Seed,70
massUp,https://massup.de/,massUp offers an insurance API and transaction shop for small protection insurance to B2B partners.,Germany,Product As A Service,6. Insurance,2015,Nascent,"20,000",Seed,70
AAZZUR,aazzur.com,AAZZUR is an open ecosystem that allows customers to aggregate personal bank accounts and access augmented financial services from both AAZZUR and external financial technology providers.,Germany,Data Aggregators,10. Open Banking,2017,Nascent,"120,000",Seed,70
Astra,astra.finance,Astra is a mobile app for saving money. Astra transfers cash between users' checking and savings accounts.,United States,Product As A Service,2. Payments Initiation,2016,Emerging,"1,670,000",Seed,70
bonify,bonify.de,"bonify provides a platform that allows people to monitor their personal credit score, as well as to view and manage their finances and achieve individualized credit offers – adapted to their personal credit score. Users can compare credit offers from different partner banks or mobile, gas and electricity charges. The bonify platform lets users check and supervise relevant data, offers tools and personalized recommendations to optimize their financial situation.",Germany,Data Aggregators,11. Other Financial Data,2015,Emerging,"5,790,000",Series E,70
Brankas,brank.as,"Brankas is a mobile app that lets users manage multiple bank accounts, enabling them to send and receive money.",Indonesia,Data Aggregators,10. Open Banking,2016,Nascent,"50,000",Series A,70
DataVisor,datavisor.com,"DataVisor is a developer of fraud and financial crime detection services, utilizing unsupervised machine learning combined with Big Data architecture to identify attack campaigns before they cause any damage.",United States,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2013,Mature,"54,500,000",Series C,100
Digital Onboarding,digitalonboarding.com,Digital Onboarding is a Software-as-a-Service (SaaS) technology company focused on helping banking customers activate their financial services products.,United States,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2015,Nascent,"5,030,000",Seed,70
Enigma Technologies,enigma.com,"Enigma, a New York-based Data-as-a-Service company, transforms tabular data into representations of real-world relationships, providing a source of intelligence about people, places and companies. From evaluating insurance risk to combating money laundering, Enigma connects clients' internal data assets to transform their strategies and workflows.",United States,Data Aggregators,11. Other Financial Data,2011,Emerging,"129,710,000",Seed,100
Extend Enterprises,paywithextend.com,Extend is a mobile fintech company offering a peer-to-peer credit card access platform to businesses of all sizes.,United States,Product As A Service,4. Cards,2017,Nascent,"14,250,000",Seed,70
FI.SPAN,fispan.com,"FI.SPAN offers an API management platform that allows banks to quickly deploy new business banking products. The company curates (and pre-integrates) 3rd party FinTech solutions, which banks can use alone or in concert with their internal capabilities to develop products and services for business banking customers. The platform enables the creation of RESTful API endpoints allowing banks to selectively expose products and services to existing or new channels.",Canada,General BaaS Platforms,9. Developer Platforms,2016,Nascent,"4,000,000",Seed,70
Infinicept,infinicept.com,"Infinicept is a suite of automated services that collectively perform as an operational backbone for Payment Facilitators. Whether used as a fully integrated package, or a la carte, Infinicept makes it possible for Payment Facilitators to get up and running in weeks, not years.",United States,Product As A Service,3. Payments Processing,2015,Nascent,"680,000",Seed,70
JUMO Marketplace,jumo.world,"JUMO partners with banks, MNOs, and other e-commerce players to deliver financial choices to customers in emerging markets across Africa and Asia. JUMO connects people who have limited access to formal financial opportunities with services such as borrowing and saving.",South Africa,General BaaS Platforms,9. Developer Platforms,2015,Nascent,"146,650,000",Series B,100
Juvo,juvo.com,"Juvo's vision is to establish financial identities for the billions of people worldwide who are creditworthy, yet financially excluded. Juvo transforms subscriber consumption with immediate credit, the first step towards greater mobile financial services. In partnership with mobile network operators, Juvo's Identity Scoring technology uses data science, artificial intelligence and game mechanics to create an identity-based relationship with anonymous prepaid users, opening up access to otherwise unattainable mobile financial services.",United States,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2014,Nascent,"60,770,000",Seed,100
Minna Technologies,minnatechnologies.com,"Minna is a tech partner to retail banks. Minna develops a new generation of value-adding products that allows banks to secure a future business model. Minna's subscription management products help banks to boost customer engagement, reduce costs, and increase revenues. By working with Minna, banks will mitigate risk and make sure they are always one step ahead of the competition.",Sweden,Data Aggregators,10. Open Banking,2014,Nascent,"8,280,000",Seed,70
Mirador,miradortech.com,"Mirador Financial provides a platform that powers customer acquisition, digital loan application and digitization, intelligent product routing and pre-screening, data management, and borrower communication.",United States,Product As A Service,1. Lending,2013,Nascent,"9,210,000",Series B,70
Multiply,multiply.ai,"Multiply provides interactive, adaptive personalized financial plans with specific product recommendations across a user's entire financial world: savings, investments, protection and mortgages.",United Kingdom,Product As A Service,5. Wealth Management,2017,Nascent,"2,360,000",Seed,70
Rewire,rewire.to,Rewire develops a mobile banking platform for international cash transfers. The company's service operates by offering an online application for foreigners without a local bank account to deposit cash in one country and sends it to another.,Netherlands,Product As A Service,2. Payments Initiation,2015,Nascent,"12,000,000",Seed,70
Smart Lending,smartlending.mx,Smart Lending offers online mortgage lending services with digital tools to complete the entire mortgage process.,Mexico,Product As A Service,1. Lending,2017,Nascent,"80,000,000",Seed,100
Subaio,subaio.com,"Subaio is a software provider aimed at giving banking customers control over their online subscriptions and recurring payments, making it possible to cancel the services they no longer want within seconds.",Denmark,Product As A Service,7. Other (eg. treasury),2016,Nascent,"1,000,000",Seed,70
SureCash,surecash.net,"SureCash operates a mobile banking and payment platform that allows anyone with a mobile phone to deposit cash, send money, make purchases, and pay bills.",Bangladesh,Product As A Service,2. Payments Initiation,2010,Emerging,"7,000,000",Series C,70
ThetaRay,thetaray.com,"ThetaRay is dedicated to helping clients at large financial organizations, cyber security divisions and critical infrastructure become more resilient and seize opportunities. Its machine learning big data analytics platform delivers solutions designed to solve pressing business problems facing companies today, including security breaches, cyberattacks, fraud, money laundering, and ATM security.",Israel,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2013,Emerging,"79,500,000",Series C,100
Transfeera,transfeera.com,Transfeera operates a platform that allows users to transfer money between banks.,Brazil,Data Aggregators,10. Open Banking,2017,Nascent,"1,000,000",Seed,70
Treezor,treezor.com,"Treezor is a Paris-based banking-as-a-service provider, e-money issuer and payment institution that provides outsourcing and white label solutions for electronic payments.",France,Product As A Service,7. Other (eg. treasury),2016,Nascent,"1,000,000",Seed,70
Veridium,veridiumid.com,"Veridium is a provider of end-to-end biometric authentication designed to safeguard enterprises' most critical assets. Powered by an unmatched legacy of biometrics R&D, Veridium solutions help organizations to increase security, reduce fraud and cut the costs associated with passwords and traditional multi-factor authentication solutions. Veridium has offices in Boston and New York, U.S.; Oxford and London, U.K.; and Timisoara, Romania.",United States,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2013,Emerging,"26,650,000",Seed,100
Vexi,vexi.mx,"Vexi is a mobile credit card, allowing users to make credit card payments through the phone. The company offers credit cards for young underbanked people.",Mexico,Product As A Service,4. Cards,2016,Nascent,"80,000",Seed,70
Yapily,yapily.com,Yapily is a fintech startup that offers an open banking-based API platform that allows companies of all sizes to connect with banks using their open API required by the open banking regulations.,United Kingdom,Data Aggregators,11. Other Financial Data,2017,Nascent,"18,400,000",Seed,70
Zaam,zaam.io,"Zaam builds a platform to simplify B2B onboarding and reduce complexity by providing a case management tool, automating KYC and KYB checks, and automating a white-label interface for data collection.",United States,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2019,Nascent,"200,000",Seed,70
Accuity,accuity.com,"Accuity offers a suite of solutions for payments and compliance professionals, from comprehensive data and software that manage risk and compliance, to flexible tools that optimize payments pathways.",United States,Capabilities As A Service,"8. KYC/B, Issuance, Underwriting",2018,Emerging,"470,914,000",Acquired,150
Afterpay,afterpay.com.au,"Afterpay Touch Group (ASX: APT) is a technology-driven payments company comprising the Afterpay and Touch products and businesses. Afterpay allows retailers to offer a ‘buy now, receive now, pay later’ service that does not require end-customers to enter into a traditional loan or pay any upfront fees or interest to Afterpay. Afterpay has around 4.3 million active customers and approximately 30,600 active retail merchants on-boarded.",Australia,Product As A Service,1. Lending,2017,Emerging,"375,000,000",Public,150
Amber Group,https://www.ambergroup.io/,"Amber Group is a diversified crypto finance firm that helps clients buy and sell cryptocurrency products, earn yield, manage risk, and access liquidity.",Hong Kong,Transaction Infrastructure,12. Crypto-as-a-service,2015,Emerging,"28,000,000",Seed,100
Anasi,https://www.withanansi.com/,Point of sale insurance platform for e-commerce businesses,England,Product As A Service,6. Insurance,2018,Nascent,"1,000,000",Seed,70
Arcus Financial Intelligence,arcusfi.com,"Arcus Financial Intelligence helps banks reissue credit and debit cards to customers whose cards have been lost, stolen or breached. Arcus also offers a financial hub that lets customers track and manage credit cards, loans and utilities in one place.",United States,General BaaS Platforms,9. Developer Platforms,2012,Nascent,"18,860,000",Series B,100
Babel Finance,babel.finance,Babel Bank is a digital currency bank.,China,Transaction Infrastructure,12. Crypto-as-a-service,2018,Nascent,"1,000,000",Seed,70
BankiFi,https://www.bankifi.com/,BankiFi enables banks to provide business customers with the right solution at the right time throughout every stage of their journey.,United Kingdom,Data Aggregators,10. Open Banking,2018,Nascent,"1,000,000",Seed,70
Basiq,basiq.io,"Basiq is an aggregation platform for acquiring financial data, it provides access to financial institutions through a set of RESTful APIs.",Australia,Data Aggregators,10. Open Banking,2017,Nascent,,Series A,70
BBVA Open Platform,bbvaopenplatform.com,"BBVA Open Platform provides end-to-end, banking-as-a-service (BaaS) solutions, enabling organizations to deliver banking functionality directly to their end users. Open Platform’s BaaS solutions empower companies across industries to offer banking and payments services under their own brand by embedding money movement, deposit account origination (consumer and business), and debit card issuance into their existing UI.",United States,Product As A Service,2. Payments Initiation,2018,Nascent,,Public,70
Binance,https://www.binance.com/en,"Binance is a cryptocurrency exchange. Apart from crypto-trading, Binance offers an ICO Platform, Blockchain Media, and Blockchain Funds. The ICO platform integrated into Binance offers high-quality projects, in order to help these projects to launch their ICO. Blockchain Media spreads awareness about the blockchain technology to communities that are both familiar with blockchain and also communities that are entirely new to the concept. Blockchain Fund is responsible for selecting the most promising projects and listing their coins on the Binance exchange.",Malta,Transaction Infrastructure,12. Crypto-as-a-service,2017,Emerging,,Series A,70
bsurance,https://www.bsurance.com/en/,"bsurance is an insurance company that specializes in B2B2C business models. Its customers include trading companies, energy suppliers, electronics retailers, and more.",Austria,Product As A Service,6. Insurance,2017,Nascent,"5,190,000",Seed,70
Chain,https://www.chain.com/,"Chain helps developers build apps by providing streamlined access to the blockchain via its Chain Nodes and API. One of its focuses is on linking blockchain data in real-time. By compiling and indexing blockchain data, other developers can ""build bitcoin apps, not block chain infrastructure."" The company also operates Albumatic, a group photo sharing app, which allows friends to join albums and add photos if nearby.",United States,General BaaS Platforms,9. Developer Platforms,2014,Nascent,"43,700,000",Seed,100
ClarionDoor,https://clariondoor.com/,"ClarionDoor delivers enterprise-class rating, quoting, and issuance solutions to P&C insurance organizations via the company's flagship product, CD Digital Distribution Suite, which includes CD Rating and CD Issuance.",United States,Product As A Service,6. Insurance,2010,Emerging,,Public,70
Click2Sure,https://click2sure.co.za/,"Click2Sure as a digital insurance broker has developed a range of specialized policies across a range of categories. Click2Sure has developed a range of API's which enable cross-selling of product insurances directly at the point of sale. Its API's integrate into the checkout process of e-commerce, traditional retail stores, via direct mailers, web / mobile interface and bundled policies attached to high-value items.",South Africa,Product As A Service,6. Insurance,2017,Nascent,"1,000,000",Seed,70
Digital Asset,https://www.digitalasset.com/,Digital Asset provides tools that use distributed ledgers to track and settle both digital and mainstream financial assets in a cryptographically secure environment. The company's platform is designed to minimize counterparty risk and reduce settlement time.,United States,General BaaS Platforms,9. Developer Platforms,2014,Mature,"142,120,000",Series C,100
Doconomy,doconomy.com,"Doconomy offers a mobile product, DO. DO is a mobile banking service that enables users to understand the impact of their daily choices. This allows people to adjust behavior, and to compensate for their impact on the planet.",Sweden,Product As A Service,4. Cards,2018,Nascent,"1,000,000",Seed,70
FinBox,finbox.in,FinBox seeks to improve the infrastructure for distribution and access of financial services in India. FinBox democratizes technology for fintechs and enterprises so that they can build financial services and products.,India,Product As A Service,1. Lending,2015,Nascent,"1,000,000",Seed,70
FinConecta,https://finconecta.com/,"FinConecta provides the technology infrastructure to easily connect financial institutions’ core banking systems with third-party fintech providers worldwide. It's platform, 4wrd, accelerates open banking by facilitating the integration of multiple 3rd party solutions, bolstering digital bank initiatives and enabling the creation of new marketplaces.",United States,Data Aggregators,10. Open Banking,2016,Nascent,"1,000,000",Seed,70
FinGoal,fingoal.com,"FinGoal builds tools for Banks, Credit Unions, and FinTech developers that analyze consumer credit and debit card transactions to Find Money in their existing spending patterns. ​FinGoal digs down into each individual's transactions and yielding personalized advice on how to spend money wiser.",United States,General BaaS Platforms,9. Developer Platforms,2018,Nascent,"1,000,000",Seed,70
FinTecSystems,https://fintecsystems.com/,"FTS is an open banking and data analytics platform provider. It is based in Munich, Germany.",Germany,General BaaS Platforms,9. Developer Platforms,2014,Nascent,,Series B,70
Fintecture,https://www.fintecture.com/,"Fintecture provides data aggregation APIs. Offers Account Data Access API, that provides account and transaction data as account type, balance, currency and country. The company offers Payment Initiation API, that provides SEPA transfers & SEPA instant transfers.",,Product As A Service,2. Payments Initiation,2017,Nascent,"1,000,000",Seed,70
Fractal,https://www.askfractal.com/,"Fractal is a platform-as-a-service that seeks to reinvent how Small-Medium-Enterprises (SMEs) execute payments and access financial services. Fractal helps financial institutions and their SME clients save money by providing a smarter payments engine and an insights platform to deliver the right product, to the right SME, at the right time.",United Kingdom,Data Aggregators,11. Other Financial Data,2014,Nascent,"210,000",Series A,70
Hydrogen,hydrogenplatform.com,"Hydrogen provides a modular financial API platform that helps developers build and manage savings, investing, insurance, and wellness applications.",United States,General BaaS Platforms,9. Developer Platforms,2017,Nascent,"1,000,000",Seed,70
Kasko,kasko.io,"KASKO provides InsurTech as a Service. The platform lets insurance providers, brokers and coverholders to develop plug-and-play ready insurance products in a cost-effective manner.",United Kingdom,Product As A Service,6. Insurance,2015,Nascent,"1,240,000",Seed,70
Marqeta,https://www.marqeta.com/,"Marqeta offers an open API payment card issuing platform that provides a fully documented, open API issuer processor platform. Companies can build, issue and deploy payment, finance and commerce solutions with control over what, where, and how purchases are authorized. The Marqeta platform integrates with major credit card brands and makes it easier than ever to make payments, receive payments, reward customers and create more efficient business processes.",United States,Product As A Service,4. Cards,2010,Mature,"526,280,000",Series D,150
Moonshot Insurance,https://moonshot-insurance.com/,Moonshot Insurance is an Insurtech that develops usage-based insurance products and services dedicated to E-Commerce. The platform offers contextual B2B2C insurance with a 100% digital experience.,France,Product As A Service,6. Insurance,2017,Nascent,"1,000,000",Seed,70
ndigit,https://ndgit.com/,"ndgit provides open banking API solutions to banks and financial institutions. It connects banks and fintech with the digital ecosystem. Its services include customized banking services, transaction management platform, a marketplace for fintech, and more. Banks use API for facilitating KYC, loans, depots, insurance, and more.",,Data Aggregators,10. Open Banking,2016,Emerging,"5,700,000",Acquired,70
NEAR Protocol,https://near.org/,"NEAR is a decentralized storage and compute platform that is secure to manage high-value assets like money or identity and performant enough to make them useful for everyday people, putting the power of the open web in their hands.",Switzerland,General BaaS Platforms,9. Developer Platforms,2017,Nascent,"21,600,000",Series A,100
Nordigen,nordigen.com,"Nordigen helps financial institutions analyze transactions by identifying context, specializing in risk analysis for approving loans and other banking services. The company offers categorized and enriched transaction data tailored for credit assessment or personal finance management (PFM) solutions.",Latvia,Data Aggregators,11. Other Financial Data,2016,Nascent,"990,000",Seed,70
Nupay,nupay.co.in,Nupay offers B2B focussed payments and banking services enabling digital payments and automation of account receivables payables processes for Enterprises.,India,Product As A Service,3. Payments Processing,2016,Nascent,"1,000,000",Seed,70
ONPEX,onpex.com,"ONPEX is a cloud-based, account and payment solution that combines SEPA and cross-border SWIFT transactions using a white label, Banking-as-a-Service (BaaS) platform. Companies can develop and manage their own banking and payment solutions by Application-Programming-Interface (API) integration of the ONPEX solution.",Luxembourg,Product As A Service,3. Payments Processing,2013,Nascent,"4,500,000",Series A,70
Personetics Technologies,personetics.com,"Personetics provides customer-facing AI solutions for financial services and is the company behind the Self-Driving Finance platform. Harnessing the power of AI, Personetics’ Self-Driving Finance solutions are used by the world’s largest financial institutions to transform digital banking into the center of the customer’s financial life – providing personalized insight and advice, automating financial decisions, and simplifying day-to-day money management.",United States,Data Aggregators,10. Open Banking,2011,Emerging,"18,000,000",Series B,70
Railz,Railz.ai,Railz is a single API that integrates with the majority of accounting software service providers used by small businesses.,Canada,Data Aggregators,11. Other Financial Data,2015,Nascent,"1,000,000",Seed,70
Responsive,https://www.responsive.ai/,Responsive is a hybrid wealth advisor solution for banks and private managers. Responsive captures behavioral insights that enable advisors to identify and act on client opportunities and risks.,Canada,Product As A Service,5. Wealth Management,2015,Nascent,"840,000",Seed,70
Riskcovry,riskcovry.com,"Riskcovry is an omnichannel ""insurance-in-a-box""​ for consumer businesses that enables any insurance product to integrate across any customer engagement channel, seamlessly.  As an enterprise product company with a B2B2C model, it enables customers with a SaaS & API-first platform, which optimizes all end-consumer touchpoints of insurance.",India,Product As A Service,6. Insurance,2018,Nascent,"1,000,000",Seed,70
Salt Edge,saltedge.com,"Salt Edge offers fintech solutions for banks, lenders, and finapps by providing innovative and secure services, including Global Data Aggregation API, PSD2 Solutions, and PSD2 Payment Initiation API.",Canada,Data Aggregators,10. Open Banking,2013,Nascent,"3,500,000",Series A,70
Skale,https://skale.network/,"SKALE provides a blockchain application development platform. It provides a decentralized platform for developers and businesses to develop, deploy, test, and manage Ethereum-based DApps. It offers layer 2 Proof-of-Stake network, sidechains, blockchain consulting, BFT consensus, etc.",,General BaaS Platforms,9. Developer Platforms,2018,Nascent,"11,500,000",Series C,70
Standard Tokenization Protocol,https://stp.network/,Standard Tokenization Protocol is an open-source standard defining how tokenized assets are issued and transferred while complying with all necessary regulations. Tokens built on top of the STP-Standard will use the protocol's on-chain Validator to verify compliance with any jurisdictional or issuer-specific requirements.,Singapore,General BaaS Platforms,9. Developer Platforms,2019,Nascent,"4,000,000",Series A,70
Swap MX,swap.mx,"swap is an e-wallet, providing peer and retail payments, and expense management tools.",Mexico,Product As A Service,4. Cards,2014,Nascent,"1,000,000",Seed,70
WeInvest,https://www.weinvest.net/,"WeInvest is a digital wealth management solutions provider. The company's products include Trackwealth, a personal finance management tool that aggregates client accounts in real-time, and WeInvest, a digital investment service that covers passive goal-based and thematic investing through DIY robo-advisory and relationship-manager based advisory channels.",Singapore,Product As A Service,5. Wealth Management,2013,Emerging,"15,300,000",Series B,70
Zego,https://www.zego.com/,"Zego provides pay-as-you-go insurance for drivers and riders working for sharing economy companies including Deliveroo, UberEATS, Jinn and Amazon who only pay, via an app or top up card, for cover for the hours they work.",United Kingdom,Product As A Service,6. Insurance,2016,Emerging,"51,550,000",Seed,100
AeroPay,https://www.aeropay.com/,AeroPay is an alternative payment platform for both in-store and online commerce. It charges businesses lower fees than credit cards and provides customers with cashback on every purchase.,United States,Product As A Service,2. Payments Initiation,2017,Nascent,"1,000,000",Seed,70
Checkbook,https://checkbook.io/,Checkbook enables digital checks that can be sent and received by the push of a button. It doesn't require the recipient to sign up or download any app to receive the payment. This is critical for enterprises sending thousands or millions of checks.,United States,Product As A Service,3. Payments Processing,2015,Nascent,"2,000,000",Seed,70
